fid,fname,fruntime,certificate,fbudget,fopening,fcumlative,fGross,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,flocation,fproduction,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fcomedy,fadult,fdocumentary,fmystery,fadventure,fbiography,fshort,fnews,fthriller,ffamily,fhistory,fcrime,fhorror,ftalk-show,fwar,fgame-show,freality-tv,fwestern,faction,fmusical,fsport,fmusic,fanimation,fromance,fsci-fi,ffantasy,fdrama,act1,act2,actW,nominated,Won,month,year
tt0177858,In July,99.0,,DEM5000000,,34245.0,,7.7,19867.0,0.77,2.0,2.0,Germany,other,0.0,0.5,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,3.0,4.0,,,Aug,2000
tt0235679,Pokémon 3: The Movie,93.0,G,16000000,8240752.0,68411275.0,17052128,5.8,12145.0,0.58,0.0,0.0,Japan,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.0,0.0,0.0,,,Apr,2001
tt6577814,Screwed,100.0,Not Rated,,,,,6.3,884.0,0.63,0.0,0.0,Poland,other,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Nov,2018
tt9095526,Mon frère,96.0,,,,778797.0,,6.6,312.0,,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,,2000
tt8655470,The Specials,114.0,,,,15496959.0,,7.6,718.0,0.74,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2019
tt1559547,Beautiful Creatures,124.0,PG-13,60000000,7582595.0,60052138,19452138.0,6.1,81020.0,0.61,0.0,8.5,UK,other,0.0,8.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,,,Feb,2013
tt1559547,Beautiful Creatures,124.0,PG-13,60000000,7582595.0,60052138,19452138.0,6.1,81010.0,0.61,0.0,8.5,UK,other,0.0,8.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,,,Feb,2013
tt0168856,A Fish Tale,80.0,G,,57626.0,5595327.0,563911,5.9,5483.0,0.5900000000000001,0.0,0.0,Denmark,other,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.0,10.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0.0,0.0,0.0,,,Jun,2001
tt3910736,Gun Shy,92.0,R,,,2480.0,,4.0,2329.0,0.4,0.0,1.5,USA,other,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.0,2.0,24.0,,,Sep,2017
tt0245929,Devils on the Doorstep,139.0,,,3227.0,18944.0,18944,8.2,6229.0,0.82,0.0,2.0,France,other,0.0,3.5,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,Mar,2001
tt0242795,Come Undone,98.0,R,,,326484.0,326484,6.7,4621.0,0.67,0.0,1.0,France,other,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Jun,2000
tt0271383,A Dog's Will,104.0,,,,,,8.6,9654.0,0.86,0.0,0.0,Brazil,other,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Sep,2000
tt6742252,The Guilty,85.0,R,,60050.0,4598051.0,207140,7.5,32380.0,0.75,0.0,0.0,Denmark,other,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,Oct,2018
tt1051904,Goosebumps,103.0,PG,58000000,23618556.0,158260952.0,80080379.0,6.3,75255.0,0.63,0.0,0.5,Indonesia,Columbia Pictures,1.0,17.0,15.5,1.0,1.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,,,Oct,2015
tt1051904,Goosebumps,103.0,PG,58000000,23618556.0,158260952.0,80080379.0,6.3,75261.0,0.63,0.0,0.5,Indonesia,Columbia Pictures,1.0,17.0,15.5,1.0,1.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,,,Oct,2015
tt0204761,Fidelity,105.0,,,,44180.0,,5.7,1616.0,0.58,0.0,4.0,France,other,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,,,Apr,2000
tt0255067,Common Wealth,110.0,R,EUR4000000,,290754.0,,7.3,10164.0,0.73,0.0,0.0,Spain,other,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,8.0,,,Sep,2000
tt0228687,Greedy Guts,132.0,,,,125716.0,,7.3,5691.0,0.73,0.0,0.0,Czech Republic,other,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,,,Jan,2001
tt0243862,Italian for Beginners,112.0,R,1000000,66047.0,16350876.0,4544753,7.0,12407.0,0.7,0.0,0.0,Denmark,other,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,May,2002
tt0187696,Anatomy,103.0,R,DEM8400000,5725.0,10501958.0,9660,6.1,11188.0,0.61,0.0,0.0,Germany,other,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,7.0,,,Feb,2000
tt0330994,Titanic: The Legend Goes On...,90.0,Not Rated,,,,,2.0,8848.0,0.21000000000000002,0.0,0.0,Italy,other,0.0,0.0,0.5,0.0,0.0,1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,,,Sep,2000
tt0164192,Boltneck,92.0,Not Rated,,,,,4.5,540.0,0.47000000000000003,0.0,0.0,,other,0.0,0.0,1.0,1.5,3.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,,,Oct,2000
tt0814243,One Piece: The Movie,51.0,TV-PG,,,,,6.8,1546.0,0.6799999999999999,0.0,0.0,Japan,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.0,0.0,0.0,,,Mar,2000
