fid,fname,fruntime,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fmystery,fadventure,ffamily,fromance,fthriller,fwestern,fhistory,fmusical,fdrama,fwar,ffantasy,fcrime,fanimation,fsport,faction,fbiography,fcomedy,fsci-fi,fhorror,fmusic,actW,nominated,Won,month,year,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_Unrated,fproduction_BBC Films,fproduction_Columbia Pictures,fproduction_Dimension Films,fproduction_DreamWorks,fproduction_Fox Searchlight Pictures,fproduction_Lionsgate,fproduction_Millennium Films,fproduction_New Line Cinema,fproduction_Paramount Pictures,fproduction_Screen Gems,fproduction_Summit Entertainment,fproduction_Twentieth Century Fox,fproduction_Universal Pictures,fproduction_Walt Disney Pictures,fproduction_other,fGross_y,fbudget_y,fcumlative_y
tt0141907,Town & Country,104.0,4.4,4526.0,0.4400000000000001,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.0,0.0,0.0,4,2001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6719973.0,90000000.0,10372291.0
tt0146316,Lara Croft: Tomb Raider,100.0,5.8,189189.0,0.58,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12.0,0.0,0.0,6,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,131168070.0,115000000.0,274703340.0
tt0151150,Josh,162.0,6.1,8818.0,0.61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,6,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426318.0,7529271.6,426318.0
tt0151150,Josh,162.0,6.1,8823.0,0.61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,6,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426318.0,7529271.6,426318.0
tt0153464,Up at the Villa,115.0,6.0,2525.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,5,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2933161.0,28104557.8,3740113.0
tt0156757,Mad About Mambo,92.0,6.0,1848.0,0.6,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,7,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65283.0,20398158.0,65283.0
tt0157122,Faithless,154.0,7.4,3127.0,0.75,13.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,9,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,739055.0,13295581.2,918033.0
tt0157583,Enigma,119.0,6.3,19456.0,0.63,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,4.0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,6,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4301582.0,92305776.0,15713204.0
tt0158033,Nora,106.0,6.0,1539.0,0.61,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15120.0,8026148.4,15120.0
tt0158033,Nora,106.0,6.0,1540.0,0.61,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15120.0,8026148.4,15120.0
tt0159273,Behind Enemy Lines,106.0,6.4,95660.0,0.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,12.0,0.0,0.0,11,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58856790.0,40000000.0,91753202.0
tt0159365,Cold Mountain,154.0,7.2,134023.0,0.72,0.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,11.0,7.0,1.0,12,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95636509.0,79000000.0,173013509.0
tt0160184,Eye See You,96.0,5.3,22796.0,0.53,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.0,0.0,0.0,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79161.0,55000000.0,6632383.0
tt0160399,Impostor,95.0,6.2,21940.0,0.62,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12.0,0.0,0.0,1,2002,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6285176.0,30000000.0,8694320.0
tt0160403,The Independent,81.0,5.9,1083.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,3,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238431.0,12420643.0,238431.0
tt0160484,Lost Souls,97.0,4.8,10143.0,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.0,0.0,0.0,10,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16815253.0,50000000.0,31355910.0
tt0160484,Lost Souls,97.0,4.8,10149.0,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.0,0.0,0.0,10,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16815253.0,50000000.0,31355910.0
tt0160644,Passion of Mind,105.0,5.5,3055.0,0.55,9.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,6,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,769272.0,31087616.5,769272.0
tt0161083,What's the Worst That Could Happen?,94.0,5.5,14337.0,0.55,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,0.0,0.0,6,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32269834.0,60000000.0,38464131.0
tt0161216,Steal This Movie,107.0,6.5,2167.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,6,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76424.0,10831264.3,79088.0
