Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Limitless,2011,PG-13,18 Mar 2011,105 min,"Sci-Fi, Thriller",Neil Burger,"Leslie Dixon (screenplay), Alan Glynn (novel)","Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard","With the help of a mysterious pill that enables the user to access one hundred percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.","English, Russian, Italian, Mandarin, French",USA,2 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.4,"501,624",tt1219289,movie,19 Jul 2011,"$79,230,923",Relativity Media,N/A,True
Green Lantern,2011,PG-13,17 Jun 2011,114 min,"Action, Adventure, Sci-Fi",Martin Campbell,"Greg Berlanti (screenplay), Michael Green (screenplay), Marc Guggenheim (screenplay), Michael Goldenberg (screenplay), Greg Berlanti (screen story), Michael Green (screen story), Marc Guggenheim (screen story)","Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",English,USA,3 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.5,"255,638",tt1133985,movie,14 Oct 2011,"$116,600,000",Warner Bros. Pictures,N/A,True
Hanna,2011,PG-13,08 Apr 2011,111 min,"Action, Drama, Thriller",Joe Wright,"Seth Lochhead (screenplay), David Farr (screenplay), Seth Lochhead (story)","Saoirse Ronan, Eric Bana, Vicky Krieps, Cate Blanchett","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.","English, French, German, Italian, Arabic, Spanish","USA, UK, Germany",8 wins & 25 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.8,"181,438",tt0993842,movie,06 Sep 2011,"$40,200,000",Focus Features,N/A,True
No Strings Attached,2011,R,21 Jan 2011,108 min,"Comedy, Romance",Ivan Reitman,"Elizabeth Meriwether (screenplay), Michael Samonek (story), Elizabeth Meriwether (story)","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.","English, Ukrainian",USA,2 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.2,"200,959",tt1411238,movie,10 May 2011,"$70,300,000",Paramount Pictures,N/A,True
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,18 Nov 2011,117 min,"Action, Adventure, Drama, Fantasy, Romance, Thriller",Bill Condon,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.","English, Portuguese",USA,11 wins & 22 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,4.9,"211,758",tt1324999,movie,11 Feb 2012,"$281,267,663",Summit Entertainment,N/A,True
In Time,2011,PG-13,28 Oct 2011,109 min,"Action, Sci-Fi, Thriller",Andrew Niccol,Andrew Niccol,"Justin Timberlake, Olivia Wilde, Shyloh Oostwald, Johnny Galecki","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.7,"351,291",tt1637688,movie,31 Jan 2012,"$35,900,000",20th Century Fox,N/A,True
Horrible Bosses,2011,R,08 Jul 2011,98 min,"Comedy, Crime",Seth Gordon,"Michael Markowitz (screenplay), John Francis Daley (screenplay), Jonathan Goldstein (screenplay), Michael Markowitz (story)","Jason Bateman, Steve Wiebe, Kevin Spacey, Charlie Day",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,English,USA,3 wins & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.9,"404,392",tt1499658,movie,11 Oct 2011,"$116,900,000",Warner Bros. Pictures,N/A,True
Midnight in Paris,2011,PG-13,10 Jun 2011,94 min,"Comedy, Fantasy, Romance",Woody Allen,Woody Allen,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.","English, French, Spanish, German","Spain, USA, France",Won 1 Oscar. Another 24 wins & 101 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.7,"363,035",tt1605783,movie,20 Dec 2011,"$55,400,000",Sony Pictures Classics,N/A,True
Conan the Barbarian,2011,R,19 Aug 2011,113 min,"Action, Adventure, Fantasy",Marcus Nispel,"Thomas Dean Donnelly, Joshua Oppenheimer, Sean Hood, Robert E. Howard (character of Conan)","Jason Momoa, Stephen Lang, Rachel Nichols, Ron Perlman",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.2,"91,625",tt0816462,movie,22 Nov 2011,"$21,300,000",Lionsgate,N/A,True
The Tree of Life,2011,PG-13,17 May 2011,139 min,"Drama, Fantasy",Terrence Malick,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",English,USA,Nominated for 3 Oscars. Another 111 wins & 117 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,6.8,"158,459",tt0478304,movie,11 Oct 2011,"$13,303,319",Fox Searchlight,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Super 8,2011,PG-13,10 Jun 2011,112 min,"Mystery, Sci-Fi, Thriller",J.J. Abrams,J.J. Abrams,"Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",English,USA,11 wins & 67 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.0,"323,941",tt1650062,movie,22 Nov 2011,"$126,975,169",Paramount Pictures,N/A,True
