name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
The Trip,tt1740047,1740047.0,112,"['Steve Coogan', 'Rob Brydon', 'Rebecca Johnson', 'Elodie Harrod', 'Dolya Gavanski', 'Claire Keelan', 'Justin Edwards', 'Margo Stilley', 'Anna Stockton', 'Kerry Shale', 'Jeronime Palmer', 'Rita Davies', 'Marta Barrio', 'Paul Popplewell', 'Mike Balderstone', 'Merce Ribot', 'Tim Leach', 'Bernard Gallagher', ""Ann B. O'Brien"", 'Ben Stiller']","['Comedy', 'Drama']",['gb'],['en'],Not Rated,,,,7.0,20333.0,24 Apr 2011 (Greece),The Trip,Michael Winterbottom,,,Andrew Eaton,Simon Lupton,Baby Cow Productions,British Broadcasting Corporation,Michael Nyman,Mags Arnold,Ben Smithard,,Brian James Fitzpatrick,
Nefarious,tt1832410,1832410.0,60,"['Daniel Haynes', 'Brian Gabel', 'Joseph Gary', 'Emily Black', 'Frank Valiante', 'Reggie Beneche']",['Crime'],['us'],['en'],Unrated,,,,,,,Nefarious,Daniel Haynes,Michael Thomas Smith,,Daniel Haynes,Michael Thomas Smith,MTS Entertainment,,Bertrand Smith,Michael Thomas Smith,Frank Valiante,,,
Not for Sale,tt1693035,1693035.0,85,"['Chindy Anggrina', 'Arumy Bachsin', 'Okkie Callerista', 'Leylarey Lesesne']",['Drama'],['id'],['id'],,,,,4.0,11.0,24 Jun 2010 (Indonesia),Not for Sale,Nayato Fio Nuala,,,Subagio S.,Gope T. Samtani,Rapi Films,,,,,,,
Between the Lines,tt2445262,2445262.0,7,"['Laura Brailsford', 'Sarah Boyne', 'Stephen Samson', 'Joey Hood']","['Short', 'Fantasy', 'Horror']",['gb'],['en'],,,,,7.3,39.0,14 Sep 2010 (UK),Between the Lines,Graeme Buchan,Andrew Brogan,,,,Last Sunset Films,,Ceiri Torjussen,,,,,
Black Smoke,tt1984121,1984121.0,,"['Vered Blonstein', 'Casey Bradshaw']",['Drama'],['us'],['en'],,,,,,,07 Jul 2010 (USA),Black Smoke,Sidney Manuel,Sidney Manuel,,,,,,,Sidney Manuel,Miguel Grell,,Alexandra Rizek,
The Working Man,tt1673527,1673527.0,80,"['Dustin Morrow', 'Allison Petersen', 'Jon Petersen']","['Comedy', 'Drama', 'Thriller']",['us'],['en'],,,,,,,,The Working Man,Dustin Morrow,Dustin Morrow,,Allison Petersen,Jon Petersen,,,Shannon Stansbury,Dustin Morrow,Dustin Morrow,,,
The Case,tt1770747,1770747.0,8,"['Hidekun Hah', 'Max Phyo', 'Cynthia San Luis', 'Oliver Seitz', 'Robert D. Tasch']","['Short', 'Crime', 'Romance']",['us'],['en'],,1500.0,,,2.5,39.0,,The Case,Timothy Tau,Timothy Tau,,Rick Darge,Timothy Tau,Firebrand Hand Studios,,Kevin MacLeod,Rick Darge,Rick Darge,,Rick Darge,Rick Darge
High Tide,tt2073582,2073582.0,101,"['Derek Payne', 'Glenn Payne', 'Caroline Upthegrove']","['Comedy', 'Drama', 'Thriller']",['us'],['en'],,,,,,,,High Tide,Glenn Payne,Glenn Payne,,Glenn Payne,Caroline Upthegrove,,,,Glenn Payne,,,,
Rising Star,tt1022884,1022884.0,98,"['Tony Devon', 'Jacqueline Biels', 'Burt Klein', 'Tom Mason', 'Angel Higgins', 'Ralph Kimble', 'Elizabeth Costello', 'Tom Lewis', 'Douglas Miller', 'Kelsey Davis', 'Johnnie Franklin', 'Bruce Gould', 'Alex Tranner', 'Buddy Flatbush']",['Drama'],['us'],['en'],,4500000.0,,,,,2010 (USA),Rising Star,Lawrence Kopelman,Bernard Koppleman,,Daniel Cleaver,Harold Glassman,Film Game Productions,Tony Griffin Productions,Jonathan Fogel,Lawrence Kopelman,Jorde Christianson,,Trevor Molseed,Ed Dionisio
Bingo,tt1565391,1565391.0,28,"['Dimitri Bilov', 'Jacques Lucassen', 'Eline Van der Velden', 'Sergiu Voloc', 'Mark Zak', 'Yashar Üstüner']","['Short', 'Drama']","['nl', 'md']",['ru'],,,,,8.1,47.0,,Bingo,Timur Ismailov,Timur Ismailov,,Maarten van der Ven,,,,Giovanni P. Liotta,Annelotte Medema,Lennart Verstegen,,Paul Zomerhuis,
