name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Kaal,tt5465512,5465512.0,118,"['Dola Chakraborty', 'Samapika Debnath', 'Chandrayee Ghosh', 'Rudranil Ghosh', 'Rupsha Guha']",['Drama'],['in'],['bn'],Not Rated,,,,5.5,10.0,06 Jan 2007 (India),Kaal,Bappaditya Bandopadhyay,,,,,Angel Digital Private Limited,,Abhijit Bose,,Rana Dasgupta,,,
Speed of Light,tt0480943,480943.0,74,"['Jenia Emmanuelle', 'Alex Hall', 'Vincent X. Hall', 'Tony Henden', 'Stuart Mansell']","['Drama', 'Thriller']",['gb'],['en'],R,,,,6.8,10.0,26 Nov 2007 (UK),Speed of Light,Nick Peterson,Nick Peterson,,James Hogan,Tom Norwood,EdgeImageBank Pictures,Ingenious Media Services,Alien Virtual,Thomas Black,Joe Joseph,Sandra Johnson,Phil Mercier,
"Crime Scene, No Entry",tt3716078,3716078.0,89,"['Sam Derakhshani', 'Nayereh Farahani', 'Shaghayegh Farahani', 'Hamid Farokhnezhad', 'Sepideh Golchin', 'Shiva Khosrow Mehr', 'Poulad Kimiayi', 'Hamid Reza Pegah', 'Mohamad Reza Sharifinia', 'Marjan Shirmohammadi']",['Crime'],['ir'],['fa'],,,,,6.1,13.0,,"Crime Scene, No Entry",Ebrahim Sheibani,Alireza Motamedi,,Mohammad Poosti,,,,Arya Aziminejad,Mehdi Hosseinivand,Ali Reza Zarrindast,,,
La clase,tt1225810,1225810.0,90,"['Carolina Riveros', 'Dario Soto', 'Laureano Olivares', 'Manuelita Zelwer', 'Beatriz Vázquez', 'Guillermo Londoño', 'Asdrúbal Meléndez', 'Gabriel Rojas', 'Zair Montes', 'Rosalía Fernández', 'Francisco Alfaro', 'Arnaldo Mendoza', 'Wilian Cuao', 'Gonzalo Cubero', 'Israel Moreno', 'Nana Ponceleon', 'Verónica León', 'Antonieta Colón', 'Cristal Avilera']",['Drama'],['ve'],['es'],,,,,6.8,17.0,,La clase,José Antonio Varela,Rafael Pinto,,Lorena Almarza,Marco Mundarain,Villa del Cine,,Chuchito Sanoja,Julio Martínez,Antonio García,,,
Flicker,tt1554950,1554950.0,45,"['Kyle Yaschuk', 'Nicky Renault', 'Arlen Konopaki', 'Andrea Bloom', 'Nathan Brown', 'John Campacci', 'James Chaulk', 'Jonathan Durynek', 'Jennifer Fader', 'Nathan Finkbeiner', 'Brina Goyette', 'Christopher Hopp', 'Michael Janz', 'Colin Jones', 'Justin Jones', 'Ian Keteku', 'Steph Medford', 'Trevor Nault', 'Curtis Stebner', 'Joanna Waldie']",['Comedy'],['ca'],['en'],,,,,,,,Flicker,Tyler MacIntyre,Chris Lee Hill,,John Negropontes,Kyle Yaschuk,Stebner Getting Hit By A Car Productions,,,Tyler MacIntyre,Tyler MacIntyre,,,
West Point,tt1149268,1149268.0,57,"['Isabelle Ronayette', 'Bernard Cerf', 'Agnès Pontier', 'Johan Leysen']",None,['fr'],['fr'],,,,,6.4,10.0,,West Point,Laurence Rebouillon,Laurence Rebouillon,,Laurence Rebouillon,,Les Productions Aléatoires,,Patrice de Benedetti,Agathe Dreyfus,Michel Dunand,,Lise Roure,
The Collector,tt1095438,1095438.0,,"['Christopher Angel', 'Peter Forster', 'Justin Hosking']",None,['au'],,,,,,,,,The Collector,Itai Guberman,Peter Angel,,Peter Angel,Itai Guberman,Vagrant Productions,,Matt Lewin,Arthur Panagiotaras,Arthur Panagiotaras,,Dorota Mytych,
Coupling,tt1141287,1141287.0,45,"['Marios Athanasiou', 'Konstantinos Kappas', 'Giorgos Hraniotis', 'Leda Matsaggou', 'Ada Livitsanou', 'Zoe Nalbanti', 'Giorgos Efthymiou', 'Iordanis Kalesis', 'Gerasimos Horaitis', 'Maria Kouvidi', 'Giannis Kalatzopoulos', 'Meti Karatza', 'Panagiotis Katsikis', 'Stelios Petrakis', 'Diogenis Triandafyllidis', 'Zozo Zarpa']","['Comedy', 'Romance']",['gr'],['el'],,,,,5.4,86.0,,Coupling,,,,,,Anosi S.A.,,,,,,,
Small Talk,tt1178191,1178191.0,90,"['Ivaylo Hristov', 'Yoanna Boukovska', 'Yuri Angelov', 'Itschak Fintzi', 'Diana Dobreva', 'Ivan Stoev', 'Bilyana Kazakova', 'Valentin Tanev']",['Drama'],['bg'],['bg'],,,,,6.5,15.0,,Small Talk,Vladimir Kraev,Vladimir Ganev,,Vladimir Ganev,Ivan Pavlov,"Filmova kushta ""Art Pic"" Ivan Pavlov",,Bozhidar Petkov,Maria Handjieva,Svetlana Ganeva,Rumyan Dimitrov,Alexander Smolyanov,
Take 2,tt1131606,1131606.0,84,"['Jack Chaney', 'Matt Hale', 'Thomas Hett', 'Carrie Jay', 'Larry Koch', 'Brian Kruger', 'Chris Kruger', 'Jay Kruger', 'Alisa Martin', 'Buddy Moorehouse', 'Danny Paglia', 'Charlyn Swarthout']",['Comedy'],['us'],['en'],,5000.0,,,,,,Take 2,Tom Chaney,Tom Chaney,,Susan Chaney,Tom Chaney,Blue Hammer Films,Compass FilmsHD,Firecracker Jazz Band,Joel Hale,Eric Pascarelli,,,
Taking Chances,tt3681374,3681374.0,,"['Hector Cruz', 'Amy Miyamoto', 'Ryan Polite', 'Brenton Roggow', 'Jordan Thomas']",['Drama'],['us'],['en'],,500.0,,,,,,Taking Chances,Phil Davis,Gabriel Mays,,Joel Girdner,,,,,Gabriel Mays,Gabriel Mays,,,
Memories: waga kokoro no nihon eiga,tt1453650,1453650.0,30,"['Chiyo Abe', ""Jim O'Rourke""]",['Talk-Show'],['jp'],['ja'],,,,,,,,Memories: waga kokoro no nihon eiga,,,,,,Nihon Eiga Satellite Broadcasting,TV Man Union,,,,,,
L'Ultimo Caffè,tt3015306,3015306.0,69,"['Fernando Cova', 'Leonardo Furci', 'David Montagnini', 'Fabrizio Polo', 'Kejda Sadiku', 'Giulia Sarti', 'Gianluca Zonta']","['Comedy', 'Drama', 'Horror']",['it'],['it'],,,,,6.8,8.0,,L'ultimo caffè,Gianluca Zonta,Gianluca Zonta,,Gianluca Zonta,,GZ Production,,Emanuele Marchi,,Gianluca Zonta,,Agostino Vallin,
Hors saison,tt3214538,3214538.0,,"['Margot Abascal', 'Sophie Baignères', 'Laurent Godard']",None,['fr'],['fr'],,,,,,,,Hors saison,Christophe Morin,,,,,,,,,,,,
L'Une et L'Autre,tt2700762,2700762.0,45,"[""Aliethea D'Angelo"", 'Gilles Marini', 'Lisa Pekar']",['Romance'],['us'],"['en', 'fr']",,25000.0,,,,,,L'Une et L'Autre,Pierre Chemaly,Aliethea D'Angelo,,Aliethea D'Angelo,Eric Muschinski,Along Play Productions,,Derrick Espino,,Pierre Chemaly,,,
Otro destino,tt1556196,1556196.0,115,,"['Drama', 'Music']",['ar'],['es'],,,,,,,2007 (Argentina),Otro destino,Amin Yoma,Amin Yoma,,Saula Benavente,María Soledad Mercère,Yomka Pictures,,,,Gerardo Silvatici,,,
Gong pu,tt8141454,8141454.0,96,"['Yong Hou', 'Yuting Yang']",['Drama'],['cn'],['zh'],,,,,,,2007 (China),Gong pu,Qunxue Huang,Xiaosheng Liang,,,,,,,,,,,
Corazón secreto,tt1233466,1233466.0,72,"['Carlos Cabrera', 'Carlos Flores del Pino', 'Vicente Hueraman', 'Jaime Lanfranco', 'Gloria Laso', 'Ivan Marinovic', 'Celine Reymond', 'Alejandra Satt', 'Tuga Tarle']",None,['cl'],['es'],,,,,,,,Corazón secreto,Carlos Flores del Pino,Carlos Flores del Pino,,Antonino Ballestrazzi,Carlos Flores del Pino,CeroFilm,,Gerardo Silva,Daniel Ferreira,Fernando Solís,,,Ismael Cabrera
Six Train,tt1496874,1496874.0,,,None,,,,,,,,,,Six Train,,,,,,,,,,,,,
Denise Austin: Hit the Spot - 10 Five Minute Target Toners,tt2554016,2554016.0,66,['Denise Austin'],None,['us'],['en'],Unrated,,,,,,Sep 2007 (USA),Denise Austin: Hit the Spot - 10 Five Minute Target Toners,,,,,,,,,,,,,
Summer Heights High,tt0934320,934320.0,30,"['Chris Lilley', 'Asolima Tauati', 'Iro Utaifeau', ""Zach Fa'atoe"", 'Ofa Palu', 'David Lennie', 'Kristy Barnes-Cullen', 'Stan Roach', 'Elida Brereton', 'Danny Alsabbagh', 'Jessica Featherby', 'Kristie Coade', 'Alicia Banit', 'Nicole Joy Tan', 'Tovia Matiasi', 'Maude Davey', 'Sally Kingsford', 'Ashley McLerie', 'Kelly Dingeldei', 'Scott Louder', 'Lucian Clifforth', 'David Venn', 'Jhyll Teplin', 'Peter Hearne', 'Caren Ruck', 'Belinda Jenkin', 'Jansen Perrone', 'Emma Clapham', 'Brigid Gallacher', 'Nicole Pascual', 'Dale Simons', 'Ryan Hamer', 'Joseph Lotesto', 'Billy-Joe Renegade', 'Sam Albert', 'Martin Lee', 'Joanne Stockdale', 'Trevor Butler', 'Vincent Chiang', 'Nicole Ellis', 'Siwi Prasetyo', 'Michelle Zintschenko', 'Jonathan Stewart', 'Lise Rodgers', 'Chris Gevaux', 'Dmytro Latorets']","['Comedy', 'Drama', 'Family', 'Musical', 'Romance']",['au'],['en'],TV-MA,,,,8.4,13669.0,05 Sep 2007 (Australia),Summer Heights High,,,,,,Princess Pictures,,,,,,,
Gratuitous Violence,tt1337621,1337621.0,,"['Ray Daly Jr.', 'Joe Petcka', 'John Patrick Hayden', 'Amanda Serkasevich', 'Hoyt Christopher', 'Jennifer Kwantes', 'Phil Burke', 'Jamie Schofield', 'Samuel Ray Gates', 'Walter DeForest']",['Drama'],['us'],['en'],,,,,,,,Gratuitous Violence,Ray Daly Jr.,Ray Daly Jr.,,Ray Daly Jr.,Ray Daly Sr.,Fighting Irish LLC,,,Ray Daly Jr.,Danny Dimitroff,,,
Star Wars: The Clone Wars,tt1185834,1185834.0,98,"['Matt Lanter', 'Ashley Eckstein', 'James Arnold Taylor', 'Dee Bradley Baker', 'Tom Kane', 'Nika Futterman', 'Ian Abercrombie', 'Corey Burton', 'Catherine Taber', 'Matthew Wood', 'Kevin Michael Richardson', 'David Acord', 'Samuel L. Jackson', 'Anthony Daniels', 'Christopher Lee']","['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",['us'],['en'],PG,8500000.0,"$14,611,273, 17 Aug 2008",68282844.0,5.9,51683.0,14 Aug 2008 (Argentina),Star Wars: The Clone Wars,Dave Filoni,Henry Gilroy,Steven Melching,George Lucas,Mary Maffei,Lucasfilm Animation,Lucasfilm,Kevin Kiner,Jason Tucker,,,Dave Bullock,Edward Chaplin
Sex and the City,tt1000774,1000774.0,145,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'Chris Noth', 'Candice Bergen', 'Jennifer Hudson', 'David Eigenberg', 'Evan Handler', 'Jason Lewis', 'Mario Cantone', 'Lynn Cohen', 'Willie Garson', 'Joanna Gleason', 'Joseph Pupo', 'Alexandra Fong', 'Parker Fong', 'Kerry Bishé', 'Polina Frantsena', 'Kate Rockwell', 'Amy Flanagan', 'Lena Hall', 'Amanda Setton', 'Ching Valdes-Aran', 'Malcolm Gets', 'Lorna Kelly', 'Daphne Rubin-Vega', 'Patrick DeMarchelier', 'André Leon Talley', 'Plum Sykes', 'Lawren Howell', 'Gucci Westman', 'Serge Normant', 'Mary Howard', 'Dave Bradford', 'Gilles Marini', 'Monica Mayhem', 'Gilbert Cruz', 'Damian Young', 'Rick Aiello', 'Rogelio T. Ramos', 'Rene L. Moreno', 'Veanne Cox', ""Nati Cano's Mariachi Los Camperos"", 'Ricardo Molina', 'Annaleigh Ashford', 'Bridget Everett', 'Peter Y. Kim', 'Gidget Gormley', 'Suzanne Cryer', 'Joshua Henry', 'Henriette Mantel', 'Nancy Shayne', 'Kim Shaw', 'Michelle M. Kim', 'Erica K. Evans', 'Roxy DeVille', 'Van Hughes', 'Sara Gettelfinger', 'Bridget Regan', 'Dreama Walker', 'Ruby E. Crawford', 'Henry Strozier', 'Lisa Kron', 'Scott Burn', 'Autumn Anderson', 'Cass Asher', 'Joey Auzenne', 'Natascha Bessez', 'Jazmine Bezerra', 'Peter Michael Biondolillo', 'Nicole Blythe', 'Cornelia Brouder', 'Jeff Buckner', 'Philipp Christopher', 'David J. Cummins', 'Jennifer DeLatte', 'Kim Donovan', 'Anna-Karin Eskilsson', 'Katie Groves', 'Johnathan Hallgrey', 'Julie Halston', 'Katherine Hoskins Mackey', 'Patty Hughes', 'Caterina Jadresic', 'Philip E Jones', 'S. Lee Knorr', 'RJ Konner', 'Chandy Krapes', 'Maria Leto', 'Charles Martins', 'April McCullough', 'Rebecca Merle', 'Chris Miskiewicz', 'Christopher Moser', 'Patrick Mullins II', 'Susie Neustadter', 'Adam S. Phillips', 'Mark Pomirtchi', 'Alexandra Tejeda Rieloff', 'Ben Rindner', 'La Rivers', 'Bethany Roinestad', 'Kristen Schiano', 'Isaac Schinazi', 'Sarah Schreiber', 'Stella Stark', 'Naomi Steinhagen', 'Carmella Stolyar', 'Tom Stratford', 'Paul Thornton', 'Vladimir Troitsky', 'Avery Wada', 'Lynn Witty']","['Comedy', 'Drama', 'Romance']",['us'],['en'],R,65000000.0,"$56,848,056, 01 Jun 2008",415252786.0,5.6,111990.0,28 May 2008 (France),Sex and the City,Michael Patrick King,Michael Patrick King,,Richard Brener,Kathy Busby,New Line Cinema,Home Box Office (HBO),Aaron Zigman,Michael Berenbaum,John Thomas,Lydia Marks,Guy Efrat,William L. Arance
Rambo,tt0462499,462499.0,92,"['Sylvester Stallone', 'Julie Benz', 'Matthew Marsden', 'Graham McTavish', 'Reynaldo Gallegos', 'Jake La Botz', 'Tim Kang', 'Maung Maung Khin', 'Paul Schulze', 'Cameron Pearson', 'Thomas Peterson', 'Tony Skarberg', 'James With', 'Kasikorn Niyompattana', ""Shaliew 'Lek' Bamrungbun"", 'Supakorn Kitsuwon', 'Aung Aay Noi', 'Ken Howard', 'Aung Theng', ""Pornpop 'Tor' Kampusiri"", 'Wasawat Panyarat', 'Kammul Kawtep', 'Sornram Patchimtasanakarn', ""Noa 'Arunee Prijareonsuk' Jei"", 'Kjam Saen', 'Aun Lung Su', 'Pan Dokngam', 'Han Pik', 'Tip Tiya', 'Nee Lungjai', 'Yupin Mu Pae', 'Moan Adisak', 'Somsak Wongsa', 'Surachai Muangdee', 'Mana Sen-Mi', 'Toole Khan Kham', 'Saiwan Lungta', 'Watcharentr Sedtho', 'Rapimpa Dibu', 'May Kung', 'George Cheung', 'Richard Crenna', 'Matthew Wolf']","['Action', 'Thriller']","['de', 'us']","['en', 'my', 'th']",TV-MA,50000000.0,,113244290.0,7.0,208590.0,23 Jan 2008 (Kuwait),Rambo,Sylvester Stallone,Art Monterastelli,Sylvester Stallone,Peter Block,Boaz Davidson,Lionsgate,The Weinstein Company,Brian Tyler,Sean Albertson,Glen MacPherson,Witoon Suanyai,Apichart Chusakul,Nikolay Agopyan
The Strangers,tt0482606,482606.0,86,"['Alex Fisher', 'Peter Clayton-Luce', 'Scott Speedman', 'Liv Tyler', 'Gemma Ward', 'Kip Weeks', 'Laura Margolis', 'Glenn Howerton', 'Jordan Del Spina']","['Horror', 'Mystery', 'Thriller']",['us'],['en'],R,10000000.0,"$20,997,985, 01 Jun 2008",82391145.0,6.2,112468.0,29 May 2008 (Russia),The Strangers,Bryan Bertino,Bryan Bertino,,Thomas J. Busch,Doug Davison,Rogue Pictures,Intrepid Pictures,tomandandy,Kevin Greutert,Peter Sova,Missy Berent Ricker,Linda Brachman,Ozzie Carmona
Defiance,tt1034303,1034303.0,137,"['Daniel Craig', 'Liev Schreiber', 'Jamie Bell', 'Alexa Davalos', 'Allan Corduner', 'Mark Feuerstein', 'Tomas Arana', 'Jodhi May', 'Kate Fahy', 'Iddo Goldberg', 'Iben Hjejle', 'Martin Hancock', 'Ravil Isyanov', 'Jacek Koman', 'George MacKay', ""Jonjo O'Neill"", 'Sam Spruell', 'Mia Wasikowska', 'Mark Margolis', 'Markus von Lingen', 'Rolandas Boravskis', 'Algirdas Dainavicius', 'Aurelija Prashuntaite', 'Vidas Petkevicius', 'Ina Frismanaite', 'Ana Goldberg', 'Rimante Valiukaite', 'Leonardas Pobedonoscevas', 'Kristina Bertasiute', 'Kristina Skokova', 'Remigijus Bilinskas', 'Rimgaudas Karvelis', 'Janina Matekonyte', 'Leonas Ciunis', 'Aleksandr Zila', 'Iveta Nadzeikiene', 'Clayton Frohman', 'Marc Levy', 'Zoe Rosenblum', 'Sakalas Uzdavinys', 'Saulius Janavicius', 'Leonid Kotik', 'Dalia Smalskiene', 'Tadas Kavaliauskas', 'Matas Cancingeris', 'Diana Aneviciute', 'Sigitas Rackys', 'Vaidas Kublinskas', 'Valentin Novopolskij', 'Dalia Micheleviciute', 'Ervinas Peteraitis', 'Dmitrijus Denisiukas', 'Antanas Surna', 'Dalius Mertinas', 'Vaidotas Martinaitis', 'Aldona Bendoriute', 'Darius Gumauskas', 'Irmantas Bacelis', 'Edita Uzaite', 'Jordan Bielsky', 'Gediminas Girdvainis', 'Stanislav Adamickij', 'Klemens Becker', 'Jonas Tamulevigius', 'Jaroslav Psenicka', 'Jolanta Dapkunaite', 'Miroslav Lhotka', 'Giacomo Strasser', 'Mac Steinmeier', 'Dmitri Zisl Slepovitch', 'Arkadij Gotesman', 'Borisas Kirzeneris', 'Raimondas Sviackevicius', 'Adolf Hitler', 'Zitto Kazann']","['Action', 'Drama', 'History', 'Thriller', 'War']",['us'],"['en', 'de', 'ru']",R,32000000.0,"$8,911,827, 16 Jan 2009",,7.2,131831.0,08 Jan 2009 (South Korea),Defiance,Edward Zwick,Clayton Frohman,Edward Zwick,Pieter Jan Brugge,Clayton Frohman,Paramount Vantage,Grosvenor Park Productions,James Newton Howard,Steven Rosenblum,Eduardo Serra,Véronique Melery,William Booker,Jessica Allen
Harold,tt1041753,1041753.0,90,"['Cuba Gooding Jr.', 'Spencer Breslin', 'Nikki Blonsky', 'Ally Sheedy', 'Chris Parnell', 'Stella Maeve', 'Suzanne Shepherd', 'Rachel Dratch', 'Fred Willard', 'Colin Quinn', 'Robert Gorrie', 'Daniel Farcher', 'Elizabeth Gillies', 'Nicola Peltz', 'Julian Mazzola', 'Angel Sing', 'Lou Wagner', 'Jim Downy', 'Christina Jackson', 'Kate Hodge', 'William Wiggins', 'Jake Sokoloff', 'Alan Aisenberg', 'Samantha Futerman', 'Edward Gelbinovich', 'Derek Nelson', 'Newman Sakhi', 'Evan Daves', 'Michelle Fields', 'Lorraine Mazzola', 'Judy Nazemetz', 'Jillian Wiegand', 'Meredith Anne Bull', 'Nicky Katt', 'Lathan McKay', 'Pat Shannon', 'Sarge', 'Wass Stevens', 'Dave Attell', 'Judith Knight Young', 'Charlene Biton', 'Joey Blonsky', 'Chris T. Margaritis', 'Lian Moy', 'Brian Murray', 'Erika Othen', 'Tom Rhodes', 'Bob Sands', 'John Shannon', 'Kitty Shannon', 'Dylan Snyder', 'Natalie Tamburello', 'Paul Thornton', 'Kristin Wallace', 'Gustavo Cunha', 'Denis McKeown']",['Comedy'],['us'],['en'],PG-13,3500000.0,"$10,578, 13 Jul 2008",,5.5,1823.0,,Harold,T. Sean Shannon,T. Sean Shannon,Greg Fields,Joel Blanco,Donald Brodsky,Blue Star Pictures,City Lights Pictures,,Harp Pekin,Christopher LaVasseur,Alison Scowby,Chris Carroll,
Outlander,tt0462465,462465.0,115,"['Jim Caviezel', 'Sophia Myles', 'Jack Huston', 'John Hurt', 'Cliff Saunders', 'Patrick Stevenson', 'Aidan Devine', 'Ron Perlman', 'Bailey Maughan', 'John Nelles', 'James Preston Rogers', 'Scott Owen', 'Petra Prazak', 'Owen Pattison', 'Matt Cooke', 'Katie Bergin', 'Todd Godin', 'Mauralea Austin', 'Matthew Amyotte', 'John Beale', 'Ted Ludzik', 'James Binkley', 'Liam McNamara', 'Bryan Renfro', 'Jon K. Loverin', 'Andrew Albert', 'Brian Heighton', 'Danny Lima', 'Glenn Wadman', 'Simon Northwood', 'Todd Schroeder', 'Martha Irving', 'Bart Lovett', 'Tess McCain', 'Brent MacRae', 'Drakaina', 'Michael Ray Fox', 'J. William Grantham', 'Allyson Haas', 'Craig Harris', 'Ricardo Hoyos', 'Amy Kerr', 'Mark A. Owen', 'Todd Sandomirsky', 'Colette Stevenson', 'Steven Wendland']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi', 'War']","['us', 'de', 'fr']","['en', 'non', 'la']",R,50000000.0,"$59,581, 25 Jan 2009",,6.2,69542.0,11 Jul 2008 (Latvia),Outlander,Howard McCain,Dirk Blackman,Howard McCain,Neishaw Ali,Dirk Blackman,The Weinstein Company,Virtual Films,Geoff Zanelli,David Dodson,Pierre Gill,Ian Greig,Simon Board,Michael Adkisson
Passengers,tt0449487,449487.0,93,"['Anne Hathaway', 'Patrick Wilson', 'Andre Braugher', 'Dianne Wiest', 'David Morse', 'William B. Davis', 'Ryan Robbins', 'Clea DuVall', 'Don Thompson', 'Andrew Wheeler', 'Chelah Horsdal', 'Karen Elizabeth Austin', 'Elzanne Fourie', 'Stacy Grant', 'Conner Dwelly', 'Robert Gauvin', 'Sammy Fattedad', 'Balinder Johal', 'Amarjit Johal', 'Brad Turner', 'Claire Smithies', 'Robert Musnicki', 'Ian Thompson']","['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']","['us', 'ca']",['en'],PG-13,25000000.0,"$172,544, 26 Oct 2008",,5.9,32643.0,26 Sep 2008 (Spain),Passengers,Rodrigo García,Ronnie Christensen,,Joseph Drake,Aubrey Henderson,TriStar Pictures,Mandate Pictures,Edward Shearmur,Thom Noble,Igor Jadue-Lillo,Carol Lavallee,Karin Behrenz,Austin Basile
Prom Night,tt0926129,926129.0,88,"['Brittany Snow', 'Scott Porter', 'Jessica Stroup', 'Dana Davis', 'Collins Pennie', 'Kelly Blatz', 'James Ransone', 'Brianne Davis', 'Kellan Lutz', 'Mary Mara', 'Ming-Na Wen', 'Johnathon Schaech', 'Idris Elba', 'Jessalyn Gilsig', 'Linden Ashby', 'Jana Kramer', 'Rachel Specter', 'Valeri Ross', 'Lori Heuring', 'Jennie Vaughn', 'Jay Phillips', 'Kevin Gould', 'Tom Tarantini', 'Charles Hirsch', 'Brian Oblak', 'David Kaufman', 'Ross Partridge', 'Jacqueline Herrera', 'Hugh Scott', 'Nicholas J. Muscarella', 'Joshua Leonard', 'Andrew Fiscella', 'David Lowe', 'Shawn Driscoll', 'Marcuis Harris', 'Troy Blendell', 'Gina St. John', 'Craig Susser', 'Nick DeMoura', 'Morgan Nagatani', 'Zena Foster', ""Alex 'Shorty' Welch"", 'Frances Orr', 'Anthony Clark', 'Allison Kyler', 'Johnny Erasme', 'Anthony Rue II', 'Jennifer Talarico', 'Bryan Carman', 'Kellen DeRuy', 'Joe Heath', 'Ken Hurst', 'Krystal Katz', 'Tommy Kijas', 'Kayla Laws', ""Daphne Pe'a"", 'Cory Rasmussen', 'Marciano Ricky']","['Horror', 'Mystery']","['us', 'ca']","['en', 'it']",PG-13,20000000.0,"$20,804,941, 13 Apr 2008",57197876.0,3.9,32515.0,10 Apr 2008 (Australia),Prom Night,Nelson McCormick,J.S. Cardone,,Christopher Ball,J.S. Cardone,Screen Gems,Original Film,Paul Haslinger,Jason Ballantine,Checco Varese,Traci Kirshbaum,Ingrid K. Behrens,Casey Allen
The Eye,tt0406759,406759.0,98,"['Jessica Alba', 'Alessandro Nivola', 'Parker Posey', 'Rade Serbedzija', 'Fernanda Romero', 'Rachel Ticotin', 'Obba Babatundé', 'Danny Mora', 'Chloë Grace Moretz', 'Brett A. Haworth', 'Kevin Phan', 'Tamlyn Tomita', 'Esodie Geiger', 'Karen Elizabeth Austin', 'Ryan J. Pezdirc', 'James Salas', ""Brett O'Mara"", 'Landall Goolsby', 'Sarah Baker Grillo', 'Laura Slowinski', 'Richard Redlefsen', 'Amanda Shamis Flannery', 'Kisha Sierra', 'Mark Bankins', 'David Milchard', 'Kimani Ray Smith', 'Heather Doerksen', 'Peter King', 'Tegan Moss', 'Kam Hing Chau', 'Jasmin Dring', 'James H. Spencer', 'Ingrid M. Nelson', 'Daniel Romero', 'Zak Santiago', 'Juan Carlos Cantu', 'Mike Elliott', 'Mia Stallard', 'Jane E. Goold', 'Tone Forrest', 'Danielle Lozeau', 'Don Abernathy', 'Michael Bravo', 'Liezl Carstens', 'Brian Keith Gamble', 'Karen M. Hudson', 'Daniel Knight', 'Kathleen LaGue', 'William E. Marshall', 'Laura Monaco', 'Eduardo Noda', 'Girard Swan', 'Z. Ray Wakeman', 'Maria Zambrana', 'Foued Zayani', 'Paul Zepeda']","['Drama', 'Horror', 'Mystery', 'Thriller']","['us', 'ca']","['en', 'es']",PG-13,12000000.0,"$12,425,776, 03 Feb 2008",56964642.0,5.4,49798.0,01 Feb 2008 (Canada),The Eye,David Moreau,Sebastian Gutierrez,,Peter Block,Peter Ho-Sun Chan,Lionsgate,Paramount Vantage,Marco Beltrami,Patrick Lussier,Jeffrey Jur,Joseph Litsch,Chad Belair,Jamie Baxter
Deception,tt0800240,800240.0,107,"['Ewan McGregor', 'Hugh Jackman', 'Michelle Williams', 'Bruce Altman', 'Andrew Ginsburg', 'Stephanie Roth Haberle', 'Christine Kan', 'Dante Spinotti', 'Karolina Muller', 'Agnete Oernsholt', 'Melissa Rae Mahon', 'Rachel Montez Minor', 'Holly Cruikshank', 'Deborah Yates', 'Bill Camp', 'Zoe Perry', 'Aya Cash', 'Frank Girardeau', 'Natasha Henstridge', 'Charlotte Rampling', 'Paz de la Huerta', 'Daisy Bates', 'Shannan Click', 'Malcolm Goodwin', 'Jordan Tesfay', 'Rachael Taylor', 'Sally Leung Bayer', 'Kenneth G. Yong', 'LisaGay Hamilton', 'Paul Sparks', 'Kenneth Lee', 'James Mazzola', 'Lisa Kron', 'Margaret Colin', 'Lynn Cohen', 'Peter Scanavino', 'Maggie Q', 'Frank Deal', 'Florencia Lozano', 'Emelie Jeffries', 'Danny Burstein', 'Chandler Parker', 'Peter Jay Fernandez', 'Mercedes Herrero', 'Daniel Lugo', 'Javier Godino', 'Brian Slaten', 'David Boston', 'Marie Brandt', ""Robert 'Toshi' Kar Yuen Chan"", 'Wayne Chang', 'Joey Chanlin', 'Brother Eden Douglas', 'Kathryne Isabelle Easton', 'Pamela Fischer', 'Ramon Flowers', 'Thelma Gutiérrez', 'Takako Haywood', 'Fady Kerko', 'Basil Kershner', 'Heland Lee', 'Joseph Melendez', 'Corinne Palermo', 'Loukas Papas', 'Christina Prostano', 'Richard Short', 'Sonny Vellozzi', 'Steven Weisz']","['Crime', 'Drama', 'Mystery', 'Thriller']",['us'],"['en', 'es', 'yue']",R,25000000.0,"$2,312,146, 27 Apr 2008",,6.1,36610.0,24 Apr 2008 (Australia),Deception,Marcel Langenegger,Mark Bomback,,Mark Albela,Robbie Brenner,Rifkin-Eberts,Seed Productions,Ramin Djawadi,Douglas Crise,Dante Spinotti,Diane Lederman,Francisco Barrionuevo,Kirsten Anderson
