Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Zoo,2015–2017,TV-14,30 Jun 2015,42 min,"Drama, Mystery, Sci-Fi, Thriller",N/A,"Josh Appelbaum, André Nemec, Jeff Pinkner, Scott Rosenberg","James Wolk, Kristen Connolly, Nonso Anozie, Billy Burke",A young scientist searches to find out what's causing a rash of violent animal attacks.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"19,956",tt3250026,series,,,,,True
The Masseur,2005,Unrated,19 Oct 2005,76 min,Drama,Brillante Mendoza,"Ferdinand Lapuz (based on an original story), Brillante Mendoza (story), Boots Agbayani Pastor (story), Boots Agbayani Pastor (screenplay)","Coco Martin, Jaclyn Jose, Allan Paule, Katherine Luna",Iliac works in a massage parlor where the gay clients are given more than a shoulder kneading and back rub. When Iliac's father dies he must reconcile his job as a sex worker with the rest of his family.,"Filipino, Tagalog, English",Philippines,9 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,408,tt0477999,movie,28 Aug 2007,N/A,N/A,N/A,True
House of Sand,2005,R,13 May 2005,115 min,Drama,Andrucha Waddington,"Elena Soarez (screenplay), Luiz Carlos Barreto (story), Elena Soarez (story), Andrucha Waddington (story)","Fernanda Montenegro, Fernanda Torres, Ruy Guerra, Seu Jorge","A woman is taken along with her mother in 1910 to a far-away desert by her husband, and after his passing, is forced to spend the next 59 years of her life hopelessly trying to escape it.",Portuguese,Brazil,11 wins & 30 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.4,"2,756",tt0373747,movie,N/A,N/A,N/A,N/A,True
State Property: Blood on the Streets,2005,R,13 Apr 2005,94 min,"Musical, Action, Crime, Drama",Damon Dash,"Adam Moreno (story), Damon Dash (story), Adam Moreno (screenplay)","Beanie Sigel, N.O.R.E., Damon Dash, Michael Bentt",Three gangsters vie for control of the streets of Philadelphia.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.6,"1,320",tt0403537,movie,12 Jul 2005,"$1,677,733",Lions Gate Films,N/A,True
Gruesome School Trip,2005,N/A,07 Dec 2005,96 min,"Adventure, Family, Fantasy, Horror",Pieter Kuijpers,"Burny Bos (screenplay), Pieter Kuijpers (screenplay), Paul van Loon (novel), Paul van Loon (with contribution of)","Serge Price, Jim van der Panne, Lisa Smit, Willem Nijholt","The sensitive Onnoval is the best student in his class and he loves Liselore, who was the girlfriend of the bully Gino. His teacher Meester de Vriend believes he is a promising writer and ...",Dutch,Netherlands,4 wins.,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,722,tt0436370,movie,N/A,N/A,Barton Films,N/A,True
Murk,2005,N/A,07 Oct 2005,124 min,"Drama, Thriller",Jannik Johansen,"Anders Thomas Jensen, Jannik Johansen","Nikolaj Lie Kaas, Nicolas Bro, Laura Drasbæk, Lisbet Lundquist","The psychological thriller ""Murk"" tells the story of Jacob, who is investigating into the circumstances surrounding his sister's death on her wedding night.",Danish,"Denmark, UK",7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"2,273",tt0432972,movie,N/A,N/A,Film and Music Entertainment,N/A,True
The Accused,1988,R,14 Oct 1988,111 min,"Crime, Drama",Jonathan Kaplan,Tom Topor,"Kelly McGillis, Jodie Foster, Bernie Coulson, Leo Rossi","After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",English,"Canada, USA",Won 1 Oscar. Another 5 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.1,"29,377",tt0094608,movie,16 Apr 2002,N/A,Paramount Pictures,N/A,True
The Deal,2008,R,20 Nov 2008,100 min,"Comedy, Romance",Steven Schachter,"William H. Macy (screenplay), Steven Schachter (screenplay), Peter Lefcourt (novel)","William H. Macy, Meg Ryan, LL Cool J, Elliott Gould","A down-and-out film producer agrees to make his nephew's film about 19th century English statesman Benjamin Disraeli, but can only get financing if he casts a well-known action star. ...","English, Hebrew, Czech","Canada, USA, South Africa",N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"3,179",tt0848281,movie,20 Jan 2009,N/A,Peace Arch Films,N/A,True
Hostage,2005,N/A,04 Mar 2005,105 min,"Crime, Drama, Thriller",Constantine Giannaris,Constantine Giannaris,"Stathis Papadopoulos, Theodora Tzimou, Yannis Stankoglou, Minas Hatzisavvas","Inspired by the real-life story of a bus hijacking in Northern Greece, HOSTAGE explores the sensitive issue of Greek-Albanian relations through a young Albanian who takes over an intercity ...","Greek, Albanian","Greece, Turkey, Austria",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,489,tt0465552,movie,13 Feb 2007,N/A,N/A,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,
