Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The Guilty,2000,R,01 Jun 2000,108 min,"Crime, Drama, Thriller",Anthony Waller,"Simon Burke, William Davies (screenplay)","Bill Pullman, Devon Sawa, Gabrielle Anwar, Angela Featherstone","A young person gets hired to kill someone completely unknown, by someone equally unknown. Or is that true? Nothing is what it seems.",English,"UK, USA, Canada",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,6.2,"2,942",tt0186183,movie,12 Jun 2001,N/A,Studio Home Entertainment,N/A,True
A Shot at Glory,2000,R,12 Jul 2002,114 min,"Drama, Sport",Michael Corrente,Denis O'Neill,"Andy Gray, Finlay MacDonald, Sheila Latimer, Robert Duvall","Gordon McLeod is the manager of a second tier Scottish football team. Faced with pressure from his American owner, he is forced to bring on a marquee player to improve the fortunes of the ...",English,"UK, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.3,"1,997",tt0193854,movie,19 Nov 2002,N/A,Fireworks Pictures,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Borstal Boy,2000,Not Rated,08 Dec 2000,91 min,"Drama, Romance",Peter Sheridan,"Brendan Behan (book), Nye Heron, Peter Sheridan","Shawn Hatosy, Eamon Glancy, Ian McElhinney, Patricia Leventon","Irish writer and political activist Brendan Behan, is befriended as a teenager in a British labor camp by a liberal warden.","English, Irish","UK, Ireland",1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.8,"2,198",tt0221838,movie,15 Oct 2002,N/A,Strand Releasing,N/A,True
Passion of Mind,2000,PG-13,02 Jun 2000,105 min,"Drama, Mystery, Romance, Sci-Fi, Thriller",Alain Berliner,"Ronald Bass, David Field","Eloise Eonnet, Hadrian Dagannaud-Brouard, Chaya Cuénot, Demi Moore",A psychological romantic thriller where fantasy and reality become indistinguishable for a woman leading a double life in her dreams.,"English, French",USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.5,"3,041",tt0160644,movie,19 Sep 2000,N/A,Paramount Home Video,N/A,True
Nora,2000,R,21 Apr 2000,106 min,"Biography, Drama",Pat Murphy,"Brenda Maddox (based on the biography: written by), Pat Murphy, Gerard Stembridge","Susan Lynch, Andrew Scott, Vinnie McCabe, Veronica Duffy","In 1904, in Dublin, James Joyce chats up Nora Barnacle, a hotel maid recently come from Galway. She enchants him with her frank, direct and uninhibited manner, and before long, he's ...","English, Italian","Ireland, UK, Italy, Germany",3 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.1,"1,503",tt0158033,movie,21 May 2002,N/A,Nora Film Ltd.,N/A,True
101 Reykjavík,2000,Not Rated,01 Jun 2000,88 min,"Comedy, Romance",Baltasar Kormákur,"Hallgrímur Helgason (novel), Baltasar Kormákur","Victoria Abril, Hilmir Snær Guðnason, Hanna María Karlsdóttir, Þrúður Vilhjálmsdóttir","Will the 30 y.o. Hlynur ever move out of his mother's apartment in Reykjavík? Social welfare keeps him passive but things change when his mother's Spanish friend, Lola, arrives and stays through Xmas and New Year's Eve.","Icelandic, English, Spanish","Iceland, Denmark, France, Norway, Germany",9 wins & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.8,"9,049",tt0237993,movie,15 Apr 2003,N/A,Menemsha,N/A,True
"South of Heaven, West of Hell",2000,R,28 Jan 2000,131 min,"Drama, Western",Dwight Yoakam,"Dwight Yoakam (story), Dennis Hackin (story), Otto Felix (story), Dwight Yoakam (screenplay), Stan Bertheaud (screenplay)","Dwight Yoakam, Vince Vaughn, Billy Bob Thornton, Bridget Fonda","Valentine Casey is a U.S. Marshal in the desolate Tucson territory of the early 1900s. On Christmas Eve, his outlaw family pays him a disturbing visit. He must confront the sins of his past...",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,4.2,"1,308",tt0179473,movie,21 Aug 2001,N/A,Phaedra Cinema,N/A,True
The Perfect Nanny,2000,TV-14,16 Mar 2001,90 min,"Drama, Mystery, Thriller",Robert Malenfant,"Mark Castaldo (story), Christine Conradt, Richard Gilbert-Hill, Victor Schiller","Tracy Nelson, Bruce Boxleitner, Dana Barron, Scott Terra","After she is released from a mental hospital, a woman obsessed with romance novels takes a job as a nanny to a handsome widower -- and will kill anyone who stands in the way of her becoming his wife.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,375,tt0228711,movie,05 Jul 2005,N/A,World International Network,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
The Tao of Steve,2000,R,01 Sep 2000,87 min,"Comedy, Drama, Romance",Jenniphr Goodman,"Duncan North, Greer Goodman, Jenniphr Goodman, Duncan North (idea), Duncan North (story)","Donal Logue, Ayelet Kaznelson, John Hines, John Harrington Bland","Underachieving, overweight kindergarten teacher Dex finds a woman who forces him to reexamine his Zen-like system of seduction.",English,USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.7,"7,131",tt0234853,movie,20 Mar 2001,"$2,586,310",Sony Pictures Classics,N/A,True
Turn It Up,2000,R,06 Sep 2000,86 min,"Crime, Drama, Action, Music",Robert Adetuyi,"Ray 'Cory' Daniels (story), Chris Hudson (story), Kelly Hilaire (story), Robert Adetuyi (screenplay)","Pras Michel, Ja Rule, Jason Statham, Vondie Curtis-Hall","Trying to bootstrap his way out of Brooklyn's mean streets is Diamond, a rap musician. With his long-time pal Gage acting as his manager, he's trying to lay down a demo tape with cut-rate ...",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",18,4.2,"1,098",tt0216772,movie,20 Mar 2001,"$738,654",New Line Cinema,N/A,True
Beat,2000,R,29 Jan 2000,93 min,Drama,Gary Walkow,Gary Walkow,"Courtney Love, Kiefer Sutherland, Lisa Sheridan, Patricia Llaca",The story of writer William Seward Burroughs and his wife.,English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,5.6,"1,396",tt0211941,movie,15 Oct 2002,N/A,LionsGate Entertainment,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Harrison's Flowers,2000,R,15 Mar 2002,121 min,"Drama, Romance, War",Élie Chouraqui,"Isabel Ellsen (book), Élie Chouraqui (screenplay), Didier Le Pêcheur (screenplay), Isabel Ellsen (screenplay), Michael Katims (screenplay collaboration)","Andie MacDowell, Elias Koteas, Brendan Gleeson, Adrien Brody","When a Newsweek photojournalist disappears in war-torn Yugoslavia, his wife travels to Europe to find him.","English, French, Serbian, Croatian",France,3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.1,"5,892",tt0216799,movie,21 Jan 2003,"$1,621,845",Universal Focus,N/A,True
The Miracle Maker,2000,G,31 Mar 2000,90 min,"Animation, Biography, Drama","Derek W. Hayes, Stanislav Sokolov",Murray Watts,"Ralph Fiennes, Michael Bryant, Julie Christie, Rebecca Callard",The story of Jesus Christ.,English,"Russia, UK",N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,261",tt0208298,movie,01 Sep 2000,N/A,Lionsgate,N/A,True
Bruno,2000,PG-13,16 Apr 2000,108 min,"Comedy, Drama",Shirley MacLaine,David Ciminello,"Alex D. Linz, Shirley MacLaine, Gary Sinise, Joey Lauren Adams","Bruno is the story of a unique young boy genius, Bruno (Alex D. Linz), whose expression of his own individuality leads his family and community along an emotional journey. By the time he ...",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,6.2,"1,284",tt0123003,movie,16 Aug 2003,N/A,Screen Media,N/A,True
O Fantasma,2000,Unrated,20 Oct 2000,87 min,Drama,João Pedro Rodrigues,"João Pedro Rodrigues, José Neves, Paulo Rebelo, Alexandre Melo","Ricardo Meneses, Beatriz Torcato, Andre Barbosa, Eurico Vieira","Young and handsome Sergio works the night shift as a trash collector in Lisbon, Portugal. He can't force himself to connect with his pretty female co-worker Fatima, who displays an avid ...",Portuguese,Portugal,2 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.7,"2,692",tt0239381,movie,04 Nov 2003,N/A,Rosa Filmes,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Subconscious Cruelty,2000,N/A,12 Oct 2000,92 min,"Crime, Drama, Horror",Karim Hussain,Karim Hussain,"Sophie Lauzière, Anne-Marie Belley, Brea Asher, Ivaylo Founev","""Subconscious Cruelty"" is divided in four segments: Ovarian Eyeball - a naked woman is sliced by a sharp blade and an eyeball is removed from her belly. Human Larvae - a deranged man that ...",N/A,Canada,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"1,332",tt0166370,movie,N/A,N/A,N/A,N/A,True
