Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Wet Hot American Summer,2001,R,11 Apr 2002,97 min,"Comedy, Romance",David Wain,"Michael Showalter, David Wain","Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau","Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.6,"51,039",tt0243655,movie,08 Jan 2002,N/A,USA Films,N/A,True
Amélie,2001,R,08 Feb 2002,122 min,"Comedy, Romance",Jean-Pierre Jeunet,"Guillaume Laurant (scenario), Jean-Pierre Jeunet (scenario), Guillaume Laurant (dialogue)","Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","French, Russian, English","France, Germany",Nominated for 5 Oscars. Another 58 wins & 65 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.3,"664,253",tt0211915,movie,16 Jul 2002,N/A,Miramax Films,N/A,True
A Knight's Tale,2001,PG-13,11 May 2001,132 min,"Action, Adventure, Romance",Brian Helgeland,Brian Helgeland,"Heath Ledger, Rufus Sewell, Shannyn Sossamon, Paul Bettany","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.","English, French",USA,4 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.9,"160,012",tt0183790,movie,25 Sep 2001,"$55,001,689",Columbia Pictures,N/A,True
Zoolander,2001,PG-13,28 Sep 2001,90 min,Comedy,Ben Stiller,"Drake Sather (character Derek Zoolander), Ben Stiller (character Derek Zoolander), Drake Sather (story), Ben Stiller (story), Drake Sather (screenplay), Ben Stiller (screenplay), John Hamburg (screenplay)","Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell","At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",English,"Germany, USA",1 win & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.5,"235,135",tt0196229,movie,12 Mar 2002,"$44,724,316",Paramount Pictures,N/A,True
Y Tu Mamá También,2001,R,26 Apr 2002,106 min,Drama,Alfonso Cuarón,"Carlos Cuarón, Alfonso Cuarón","Daniel Giménez Cacho, Ana López Mercado, Diego Luna, Gael García Bernal","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Spanish,Mexico,Nominated for 1 Oscar. Another 37 wins & 45 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.6,"109,075",tt0245574,movie,22 Oct 2002,"$13,622,333",IFC Films,N/A,True
Hannibal,2001,R,09 Feb 2001,131 min,"Crime, Drama, Thriller",Ridley Scott,"Thomas Harris (novel), David Mamet (screenplay), Steven Zaillian (screenplay)","Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta","Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.","English, Italian, Japanese","USA, UK, Italy",8 wins & 17 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.8,"240,504",tt0212985,movie,21 Aug 2001,"$163,877,858",MGM,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Spy Kids,2001,PG,30 Mar 2001,88 min,"Action, Adventure, Comedy, Family, Sci-Fi",Robert Rodriguez,Robert Rodriguez,"Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara",The children of secret-agent parents must save them from danger.,"English, Spanish",USA,2 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,5.4,"101,738",tt0227538,movie,18 Sep 2001,N/A,Dimension Films,N/A,True
The Royal Tenenbaums,2001,R,04 Jan 2002,110 min,"Comedy, Drama",Wes Anderson,"Wes Anderson, Owen Wilson","Gene Hackman, Anjelica Huston, Ben Stiller, Gwyneth Paltrow",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,"English, Italian",USA,Nominated for 1 Oscar. Another 10 wins & 45 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.6,"249,431",tt0265666,movie,09 Jul 2002,"$52,307,676",Buena Vista Distribution Compa,N/A,True
Scary Movie 2,2001,R,04 Jul 2001,83 min,Comedy,Keenen Ivory Wayans,"Shawn Wayans (characters), Marlon Wayans (characters), Buddy Johnson (characters), Phil Beauman (characters), Jason Friedberg (characters), Aaron Seltzer (characters), Shawn Wayans, Marlon Wayans, Alyson Fouse, Greg Grabianski, Dave Polsky, Michael Anthony Snowden, Craig Wayans","Antony Acker, Mark Barrett, Richard Bellos, Suzanne Bianqui",Four teens are tricked by their professor into visiting a haunted house for a school project.,English,"USA, Canada",3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,5.3,"141,377",tt0257106,movie,18 Dec 2001,N/A,Dimension Films,N/A,True
